Title,Authors,Publication year,Data,Collection Year,Approach,Approach group,Abstract, keyworsd,Subcategories,Category (section), demographic,Research demographic
Parameters Influencing Queen Body Mass and Their Importance as Determined by Machine Learning in Honey Bees (Apis mellifera carnica),Prešern & Smodiš Škerl,2019,Other (phytogeographical data),"mid-June 2006, 2008, and 2010; additional sister queens measured in 2016, with brood evaluated in mid-May and mid-August 2017","Gradient Boosting Machine (GBM) via H2O open-source ML. Input: anatomical, physiological, health + phytogeographical + rearing practice data. Target: queen body mass quartiles. Three model variants with different parameter combinations.",Classical ML,"Most parameters describing queen bee quality are reflected in the queen’s body mass, which is in turn considered a robust measure and the best indicator of queen quality. State-of-the-art machine learning was used for the first time to jointly evaluate both biological and rearing parameters influencing queen body mass. Three different models were developed using different combinations of parameters. Regardless of the model composition, we achieved high precision of classification. The parameters “ovary mass” and “breeder” were the most important factors for model predictions. Differences in rearing practices and vegetation were masked by “breeder,” demonstrating the pitfall of this method. Separate analysis confirmed the importance of the time spent in the hive after mating and the phytogeographical region as an indirect indication of food sources. Rearing practices together with phytogeographical information are not enough to explain variation in queen body mass, yet they can contribute to the prediction of queen body mass if “breeder” is excluded from the model.",machine learning for honey bee,Classification,Colony Health & Acoustic Monitoring — GBM Classification of Queen Body-Mass Quartile,Slovenia,Slovenia
IoT Monitoring and Prediction Modeling of Honeybee Activity with Alarm,Andrijević et al.,2022,time-series,,"ARIMA, Facebook Prophet, LSTM. IoT modular station with 24-gate photoreflective bee counter, temperature, humidity, air quality, UV, IR, wind, rain, sound, vibration sensors. Predicts hourly bee exits and entrances from environmental time series. Five-fold time-series cross-validation on 20 days of data.",,,,Monitoring and Predictive Health Analytics,Hive Entrance & Traffic Monitoring — Forager Activity Prediction,,
Analyses of Audio and Video Recordings for Detecting a Honey Bee Hive Robbery,Tashakkori et al.,2020,multimodal (Audio + Video),2016,Non-Negative Matrix Factorization (NMF) for audio source separation + frame differencing for video motion detection. Binary: robbery vs normal activity.,Domain Specific / Specialized,"Honey bee hive robbery is a common phenomenon that occurs during a period when nectar sources are scarce. In such a case, the hives that are not strong enough to defend themselves and have stored resources such as honey or nectar may be robbed by bees from the nearby hives. Beekeepers often try different approaches to prevent or stop a robbery or take some measures to keep the robbed hive alive, but most of these efforts fail and the targeted hive will eventually collapse. This paper presents some results from the analysis done on audio and video recordings obtained at a hive before and after a robbery. The targeted hive was a top-bar hive and was robbed by the bees from its neighboring hives. Our analyses indicate that there are sufficient clues on the development and progress of a robbery that might be helpful in preventing it.",,Monitoring and Predictive Health Analytics,Colony Health & Acoustic Monitoring — Hive Robbery Detection,USA (Italian bees),USA
Anomaly Detection in Beehives Using Deep Recurrent Autoencoders,Davidson et al.,2020,time-series Sensor/temperature,May–September 2016–2019; May–August 2015; June–September 2019,LSTM Autoencoder (encoder + decoder both multilayer LSTMs). Input: 60-min z-score normalised temperature windows. Threshold α tuned on holdout partition. 100% recall on swarm events across unseen hives.,Recurrent / Sequential,"Precision beekeeping allows to monitor bees’ living conditions by equipping beehives with sensors. The data recorded by these hives can be analyzed by machine learning models to learn behavioral patterns of or search for unusual events in bee colonies. One typical target is the early detection of bee swarming as apiarists want to avoid this due to economical reasons. Advanced methods should be able to detect any other unusual or abnormal behavior arising from illness of bees or from technical reasons, e.g. sensor failure. In this position paper we present an autoencoder, a deep learning model, which detects any type of anomaly in data independent of its origin. Our model is able to reveal the same swarms as a simple rule-based swarm detection algorithm but is also triggered by any other anomaly. We evaluated our model on real world data sets that were collected on different hives and with different sensor setups.",neural network honeybees,Monitoring and Predictive Health Analytics,Colony Health & Acoustic Monitoring — Swarm Anomaly Detection (Temperature),-,Germany
Anomaly Detection in Beehives: An Algorithm Comparison,Davidson et al.,2020,time-series Sensor/temperature,May–September 2016–2019; May–August 2015; June–September 2019,"Deep LSTM Autoencoder vs 4 classical algorithms (Elliptic Envelope, Isolation Forest, Local Outlier Factor, One-Class SVM). Univariate (1 sensor) and multivariate (3 sensors) settings. LSTM AE achieves highest F1 and fewest false alarms.",Recurrent / Sequential,"Sensor-equipped beehives allow monitoring the living conditions of bees. Machine learning models can use the data of such hives to learn behavioral patterns and find anomalous events. One type of event that is of particular interest to apiarists for economical reasons is bee swarming. Other events of interest are behavioral anomalies from illness and technical anomalies, e.g. sensor failure. Beekeepers can be supported by suitable machine learning models which can detect these events. In this paper we compare multiple machine learning models for anomaly detection and evaluate them for their applicability in the context of beehives. Namely we employed Deep Recurrent Autoencoder, Elliptic Envelope, Isolation Forest, Local Outlier Factor and One-Class SVM. Through evaluation with real world datasets of different hives and with different sensor setups we find that the autoencoder is the best multi-purpose anomaly detector in comparison.",neural network honeybees,Monitoring and Predictive Health Analytics,Colony Health & Acoustic Monitoring — Swarm Detection Algorithm Benchmark,,Germany
"Application of Digital Particle Image Velocimetry to Insect Motion: Measurement of Incoming, Outgoing, and Lateral Honeybee Traffic",Mukherjee & Kulyukin,2020,Video,2018,DPIV (Digital Particle Image Velocimetry): FFT cross-correlation of interrogation windows (6×6 to 90×90 px) + 3-point Gaussian subpixel refinement + SNR filtering + vector-angle traffic classification. No learned model. Processing speed: ~19.5 min/video via 4-thread cluster.,CNN & Variants,"The well-being of a honeybee (Apis mellifera) colony depends on forager traffic. Consistent discrepancies in forager traffic indicate that the hive may not be healthy and require human intervention. Honeybee traffic in the vicinity of a hive can be divided into three types: incoming, outgoing, and lateral. These types constitute directional traffic, and are juxtaposed with omnidirectional traffic where bee motions are considered regardless of direction. Accurate measurement of directional honeybee traffic is fundamental to electronic beehive monitoring systems that continuously monitor honeybee colonies to detect deviations from the norm. An algorithm based on digital particle image velocimetry is proposed to measure directional traffic. The algorithm uses digital particle image velocimetry to compute motion vectors, analytically classifies them as incoming, outgoing, or lateral, and returns the classified vector counts as measurements of directional traffic levels. Dynamic time warping is used to compare the algorithm’s omnidirectional traffic curves to the curves produced by a previously proposed bee motion counting algorithm based on motion detection and deep learning and to the curves obtained from a human observer’s counts on four honeybee traffic videos (2976 video frames). The currently proposed algorithm not only approximates the human ground truth on par with the previously proposed algorithm in terms of omnidirectional bee motion counts but also provides estimates of directional bee traffic and does not require extensive training. An analysis of correlation vectors of consecutive image pairs with single bee motions indicates that correlation maps follow Gaussian distribution and the three-point Gaussian sub-pixel accuracy method appears feasible. Experimental evidence indicates it is reasonable to treat whole bees as tracers, because whole bee bodies and not parts thereof cause maximum motion. To ensure the replicability of the reported findings, these videos and frame-by-frame bee motion counts have been made public. The proposed algorithm is also used to investigate the incoming and outgoing traffic curves in a healthy hive on the same day and on different days on a dataset of 292 videos (216,956 video frames).",honeybees and artificial intelligence,Monitoring and Predictive Health Analytics,Hive Entrance & Traffic Monitoring — Optical Flow Traffic Analysis,usa,usa
Automatic Detection and Classification of Honey Bee Comb Cells Using Deep Learning,Alves et al.,2020,Image,2020,"DeepBee: custom CNN pipeline. Detects and classifies comb cells into categories (empty, egg, open/capped brood, honey/pollen). Trained on hand-annotated comb photographs.",CNN & Variants,"In a scenario of worldwide honey bee decline, assessing colony strength is becoming increasingly important for sustainable beekeeping. Temporal counts of number of comb cells with brood and food reserves offers researchers data for multiple applications, such as modelling colony dynamics, and beekeepers information on colony strength, an indicator of colony health and honey yield. Counting cells manually in comb images is labour intensive, tedious, and prone to error. Herein, we developed a free software, named DeepBee©, capable of automatically detecting cells in comb images and classifying their contents into seven classes. By distinguishing cells occupied by eggs, larvae, capped brood, pollen, nectar, honey, and other, DeepBee© allows an unprecedented level of accuracy in cell classification. Using Circle Hough Transform and the semantic segmentation technique, we obtained a cell detection rate of 98.7%, which is 16.2% higher than the best result found in the literature. For classification of comb cells, we trained and evaluated thirteen different convolutional neural network (CNN) architectures, including: DenseNet (121, 169 and 201); InceptionResNetV2; InceptionV3; MobileNet; MobileNetV2; NasNet; NasNetMobile; ResNet50; VGG (16 and 19) and Xception. MobileNet revealed to be the best compromise between training cost, with ~9 s for processing all cells in a comb image, and accuracy, with an F1-Score of 94.3%. We show the technical details to build a complete pipeline for classifying and counting comb cells and we made the CNN models, source code, and datasets publicly available. With this effort, we hope to have expanded the frontier of apicultural precision analysis by providing a tool with high performance and source codes to foster improvement by third parties",machine learning for honey bee behavior detection,Classification,Colony Health & Acoustic Monitoring — Comb Cell State Classification,-,Portugal
Image-Based Classification of Honeybees,Schurischuster et al.,2020,Image,2020,Two-stage pipeline: AlexNet / ResNet-101 (sliding window detector) OR DeepLabV3 (semantic segmentation) → bee patch extraction → Varroa mite presence classification.,CNN & Variants,"Abstract:Behavioral analysis of honeybees is a key factor for keeping a healthy bee colony and therefore impacts our lives indirectly or even directly, due to their pollination of many plant species. Rapid growth of parasites like Varroa destructor is one of the main reasons for the elevated mortality of bee colonies. In this paper we are classifying bees into 'healthy' and 'infected' based on the presence of this parasitic mite. A camera facing the entrance of a beehive is acquiring the images used for a novel dataset, which is used to segment and detect Varroa destructor. We are comparing two classification methods based on AlexNet and ResNet as well as a semantic segmentation approach using DeepLabV3, with the latter achieving a per-class accuracy of minimum 90.8% with an overall f-score of 0.95. The evaluations are performed on a ground truth dataset with more than 13,000 manually labeled images of infected and healthy bees, which is made publicly available.",,Classification,Varroa & Disease Detection — Healthy vs Varroa-Infected Bee Classification,-,Austria
Individual Differences in Honey Bee Behavior Enabled by Plasticity in Brain Gene Regulatory Networks,Jones et al.,2020,Video,2020,"bCode barcode tracking → CNN (barcode localiser/decoder) + PCA (18 behavioural metrics → 2-PC space) + Random Forest (forager phenotype prediction, 82% accuracy). Integrates transcriptomics with tracking.",CNN & Variants,"Understanding the regulatory architecture of phenotypic variation is a fundamental goal in biology, but connections between gene regulatory network (GRN) activity and individual differences in behavior are poorly understood. We characterized the molecular basis of behavioral plasticity in queenless honey bee (Apis mellifera) colonies, where individuals engage in both reproductive and non-reproductive behaviors. Using high-throughput behavioral tracking, we discovered these colonies contain a continuum of phenotypes, with some individuals specialized for either egg-laying or foraging and ‘generalists’ that perform both. Brain gene expression and chromatin accessibility profiles were correlated with behavioral variation, with generalists intermediate in behavior and molecular profiles. Models of brain GRNs constructed for individuals revealed that transcription factor (TF) activity was highly predictive of behavior, and behavior-associated regulatory regions had more TF motifs. These results provide new insights into the important role played by brain GRN plasticity in the regulation of behavior, with implications for social evolution.",bee behavior using AI,Tracking & Pose Estimation,Waggle Dance & Social Behaviour — Tracking & Pose Estimation,usa,usa
Soundscape Indices: New Features for Classifying Beehive Audio Samples,Sharif et al.,2020,Audio,2019,"Soundscape indices (ACI, ADI, AEI, BI, H) as novel features + MFCC baseline → Random Forest classifier. Compares index-based vs MFCC features for distinguishing trichloromethane-exposed vs clean-air hives.",Classical ML,"As the study of honey bee health has gained attention in the biology community,
researchers have looked for new, non-invasive methods to monitor the health status
of the colony. Since the beehive sound alters when the colony is exposed to stressors,
analysis of the acoustic response of the colony has been used as a method to identify
the type of stressor, whether it is chemical, pest, or disease. So far, two feature sets
have been successfully used for this kind of analysis, being these low-level signal
features and Mel Frequency Cepstral Coefficients (MFCC). Here we propose using
soundscape indices, developed initially to delineate acoustic diversity in ecosystems,
as an alternative to now used features. In our study, we examine the beehive acoustic
response to trichloromethane laced-air and blank air and compare the performance
of all three feature sets to discern the colony’s sound between the hive being
exposed to the chemical and not. Our results show that sound indices overperform
the alternative features sets on this task. Based on these findings, we consider sound
indices to be a valid set of features for beehive sound analysis and present our results
to call the attention of the community on this fact.",,Monitoring and Predictive Health Analytics,Colony Health & Acoustic Monitoring — Chemical Stress Detection via Acoustic Indices,China (Lab),China
Unsupervised Anomaly Detection on Multisensory Data from Honey Bee Colonies,Senger et al.,2020,"time-series Multi-sensor (temperature, humidity, weight, sound)",2020,"ARIMA (time-series modelling) + GESD (Generalized Extreme Studentized Deviate outlier detection) + Hierarchical Clustering. Input: temperature, humidity, weight, sound sensors. No labelled training data required.",Domain Specific / Specialized,"Beekeepers face the situation that the health state of honey bee colonies is inherently difficult to observe without stressing the bees by opening the hive. We address this problem by proposing an approach that relies on a sensor setup to gather multisensory data inside the bee colony and focus on the detection of outliers in the data stream as indicators of critical situations during the colony's development. Based on data recorded during the citizen science project Bee Observer BOB we demonstrate that algorithms exploiting an ARIMA Model and Receiver Operating Characteristics in combination with an underlying multi agent system are well able to detect and classify anomalies in honey bee colonies. In future applications this concept can be used for both - as a stealth monitoring tool in honey bee research as well as a precise technical assistance for minimally invasive, bee friendly practices in hobbyist and professional beekeeping.",,Monitoring and Predictive Health Analytics,Colony Health & Acoustic Monitoring — Multi-Sensor Unsupervised Anomaly Detection,Germany,Germany
A Deep Learning Approach to Classify the Honeybee Species and Health Identification,Karthiga et al.,2021,Image,2021,"Two-layer CNN + SMOTE (minority-class oversampling). Dual output heads: (1) subspecies recognition, (2) disease screening. Training set: 5,000+ worker-bee images annotated with pollen, subspecies, health, and location metadata.",CNN & Variants,Honey bee is one of the charming insect that utilizes a collective behavioral nature to achieve the powerful action. Protecting honey bees is one of the important jobs of every human in the world to preserve the ecological balance. Tracking and determining the several species of the bees over their life span electronically is a tedious work. Automated classification of species is important to preserve the various species of honey bees from danger. The diseases that affect the honey bees during their life span have to be detected autonomously and the spread of the diseases to other healthy honey bees has to be preserved. The proposed technique aims in classifying the several species of honey bees and identifying the diseases that are prone to honey bees. Convolution neural network with two dimensional layers are used as a classifier in the proposed model. Data augmentation using Synthetic Minority Over-sampling Technique (SMOTE) is utilized. More than 5000 images of honey bees with lot of features are used for learning purpose. The proposed methodology attained an accuracy of 86% for subspecies classification and 84% for bee health identification.,Bee Species Classification,Classification,Species & Subspecies Classification — Dual Species and Disease Classification,USA,india
Acoustic Scene Classification and Visualization of Beehive Sounds Using Machine Learning Algorithms and Grad-CAM,Kim et al.,2021,Audio,2015,"MFCC / log-Mel features → SVM, RF, XGBoost (classical ML) and VGG-13, custom CNN (deep learning). Grad-CAM visualization to explain CNN decisions. Compares 5 model families.",Hybrid / Multi-Model,"Honeybees play a crucial role in the agriculture industry because they pollinate approximately 75% of all ﬂowering crops.However, every year, the number of honeybees continues to decrease. Consequently, numerous researchers in various ﬁelds havepersistently attempted to solve this problem. Acoustic scene classiﬁcation, using sounds recorded from beehives, is an approachthat can be applied to detect changes inside beehives. -is method can be used to determine intervals that threaten a beehive.Currently, studies on sound analysis, using deep learning algorithms integrated with various data preprocessing methods thatextract features from sound signals, continue to be conducted. However, there is little insight into how deep learning algorithmsrecognize audio scenes, as demonstrated by studies on image recognition. -erefore, in this study, we used a mel spectrogram,mel-frequency cepstral coeﬃcients (MFCCs), and a constant-Q transform to compare the performance of conventional machinelearning models to that of convolutional neural network (CNN) models. We used the support vector machine, random forest,extreme gradient boosting, shallow CNN, and VGG-13 models. Using gradient-weighted class activation mapping (Grad-CAM),we conducted an analysis to determine how the best-performing CNN model recognized audio scenes. -e results showed that theVGG-13 model, using MFCCs as input data, demonstrated the best accuracy (91.93%). Additionally, based on the precision, recall,and F1-score for each class, we established that sounds other than those from bees were eﬀectively recognized. Further, weconducted an analysis to determine the MFCCs that are important for classiﬁcation through the visualizations obtained byapplying Grad-CAM to the VGG-13 model. We believe that our ﬁndings can be used to develop a monitoring system that canconsistently detect abnormal conditions in beehives early by classifying the sounds inside beehives",,Classification,Colony Health & Acoustic Monitoring — Bee vs Non-Bee Sound Classification,"America, Europe, Australia (OSBH)",Korea
An Intelligent Monitoring System for Assessing Bee Hive Health,Braga et al.,2021,Image,2018,"R-CNN (object detection, bee localisation) + CNN (classification: healthy, Varroa, ant intrusion, robbery, beetle). Transfer learning on multiple pre-trained backbones. System includes alert logic for beekeepers.",Hybrid / Multi-Model,"Up to one third of the global food production depends on the pollination of honey bees, making them vital. This study defines a methodology to create a bee hive health monitoring system through image processing techniques. The approach consists of two models, where one performs the detection of bees in an image and the other classifies the detected bee's health. The main contribution of the defined methodology is the increased efficacy of the models, whilst maintaining the same efficiency found in the state of the art. Two databases were used to create models based on Convolutional Neural Network (CNN). The best results consist of 95% accuracy for health classification of a bee and 82% accuracy in detecting the presence of bees in an image, higher than those found in the state-of-the-art.",,Monitoring and Predictive Health Analytics,Colony Health & Acoustic Monitoring — Multi-Threat Hive Health Assessment,USA (beeImage),Italy
ioT-Based Bee Swarm Activity Acoustic Classification Using Deep Neural Networks,Ngo et al.,2021,Image,2015,"Background subtraction + morphological operations (bee ROI extraction) → fine-tuned YOLOv3-tiny (pollen-bearer binary classification, BEE/POLLEN). Deployed on Raspberry Pi edge hardware. Real-time at entrance.",Optimization / Probabilistic,"Animal activity acoustic monitoring is becoming one of the necessary tools in agriculture, including beekeeping. It can assist in the control of beehives in remote locations. It is possible to classify bee swarm activity from audio signals using such approaches. A deep neural networks IoT-based acoustic swarm classification is proposed in this paper. Audio recordings were obtained from the Open Source Beehive project. Mel-frequency cepstral coefficients features were extracted from the audio signal. The lossless WAV and lossy MP3 audio formats were compared for IoT-based solutions. An analysis was made of the impact of the deep neural network parameters on the classification results. The best overall classification accuracy with uncompressed audio was 94.09%, but MP3 compression degraded the DNN accuracy by over 10%. The evaluation of the proposed deep neural networks IoT-based bee activity acoustic classification showed improved results if compared to the previous hidden Markov models system.",,Detection,Pollen & Foraging Monitoring — Real-Time Pollen Forager Detection and Counting,"America, Europe, Australia (OSBH)",Slovenia
Comparison of Feature Extraction Methods for Sound-Based Classification of Honey Bee Activity,Terenzi et al.,2021,Audio,2021,"Six feature sets compared: MFCC, STFT, HHT, CWT, DWT + log-Mel → CNN. Binary classification: queenright vs queenless. Full feature-extraction benchmark on NU-Hive dataset.",CNN & Variants,"Honey bees are one of the most important insects on the planet since they play a key role in the pollination services of both cultivated and spontaneous flora. Recent years have seen an increase in bee mortality which points out the necessity of intensive beehive monitoring in order to better understand this phenomenon and try to help these important insects. In this scenario, this work presents an algorithm for sound-based classification of honey bee activity reporting a preliminary comparison between various extracted features used separately as input to a convolutional neural network classifier. In particular, the orphaned colony situation has been considered using a dataset acquired in a real situation. Different experiments with different setups have been carried out in order to test the performance of the proposed system, and the results have confirmed its potentiality.",,Monitoring and Predictive Health Analytics,Colony Health & Acoustic Monitoring — Queen Presence Classification via Audio Features,-,Europe
Deep Learning-Based Classification Models for Beehive Monitoring,Berkaya et al.,2021,Image,2020,"Transfer learning with 7 pre-trained DNNs (AlexNet, DenseNet-201, GoogLeNet, ResNet-101/18, VGG-16/19) + SVM on deep+shallow features. Three benchmark datasets, 19,393 images. Best accuracy: 99.07%.",Hybrid / Multi-Model,"Honey bees are not only the fundamental producers of honey but also the leading pollinators in nature. While
honey bees play such a vital role in the ecosystem, they also face a variety of threats, including parasites, ants,
hive beetles, and hive robberies, some of which could even lead to the collapse of colonies. Therefore, early and
accurate detection of abnormalities at a beehive is crucial to take appropriate countermeasures promptly. In this
paper, deep learning-based image classification models are proposed for beehive monitoring. The proposed
models particularly classify honey bee images captured at beehives and recognize different conditions, such as
healthy bees, pollen-bearing bees, and certain abnormalities, such as Varroa parasites, ant problems, hive robberies, and small hive beetles. The models utilize transfer learning with pre-trained deep neural networks (DNNs)
and also a support vector machine classifier with deep features, shallow features, and both deep and shallow
features extracted from these DNNs. Three benchmark datasets, consisting of a total of 19,393 honey bee images
for different conditions, were used to train and evaluate the models. The results of the extensive experimental
work revealed that the proposed models can recognize different conditions as well as abnormalities with an
accuracy of up to 99.07% and stand out as good candidates for smart beekeeping and beehive monitoring.",,Classification,"Varroa & Disease Detection — Multi-Threat Image Classification (Varroa, Ants, Beetles, Robbery)","USA (beeImage, varoadataset)",Turkey
Ethoflow: Computer Vision and Artificial Intelligence-Based Software for Automatic Behavior Analysis,Bernardes et al.,2021,Video,2021,"CNN (object detector, instance segmentation: feature map + RPN + ROI pooling + sigmoid) + identity preservation across frames + kinematic variable extraction + trophallaxis scoring. Open-source Python (OpenCV + TensorFlow/Keras) with GUI.",CNN & Variants,"Manual monitoring of animal behavior is time-consuming and prone to bias. An alternative to such limitations is using computational resources in behavioral assessments, such as tracking systems, to facilitate accurate and long-term evaluations. There is a demand for robust software that addresses analysis in heterogeneous environments (such as in field conditions) and evaluates multiple individuals in groups while maintaining their identities. The Ethoflow software was developed using computer vision and artificial intelligence (AI) tools to monitor various behavioral parameters automatically. An object detection algorithm based on instance segmentation was implemented, allowing behavior monitoring in the field under heterogeneous environments. Moreover, a convolutional neural network was implemented to assess complex behaviors expanding behavior analyses’ possibilities. The heuristics used to generate training data for the AI models automatically are described, and the models trained with these datasets exhibited high accuracy in detecting individuals in heterogeneous environments and assessing complex behavior. Ethoflow was employed for kinematic assessments and to detect trophallaxis in social bees. The software was developed in desktop applications and had a graphical user interface. In the Ethoflow algorithm, the processing with AI is separate from the other modules, facilitating measurements on an ordinary computer and complex behavior assessing on machines with graphics processing units. Ethoflow is a useful support tool for applications in biology and related fields.",honey bee artificial intelligence,Tracking & Pose Estimation,Individual Tracking & Re-identification — Open-Source Multi-Individual Behaviour Tracking Platform,Brazil,Brazil
Honey Sources: Neural Network Approach to Bee Species Classification,Kelley et al.,2021,Image,2021,"Two-stage pipeline: Stage 1 — Faster R-CNN + ResNet-101 + FPN (semi-supervised iterative bee localisation, 10,650 iterations). Stage 2 — same backbone + single-class RoI head (species classification). Data: 15,347 images from BeeSpotter crowdsource. 91% overall accuracy.",Recurrent / Sequential,"Bees are the main pollinators of the world and are dying at an alarming rate. Being able to classify them and study their habits is of paramount importance. Crowdsourced datasets are preferred methods for gathering data about the current state of bee populations in their natural environment. Such images, however, may be problematic to use due to large volume of images that place strain on the experts’ capabilities of identifying the species. We propose a method to identify regions of interest in an image containing a bee and to correctly classify the species of the bee. In addition, the procedure works on large crowdsourced datasets (we worked with BeeSpotter) with minimal manual annotation and data augmentation. Our approach is capable of addressing two genus and related bee species and records 91% correct classification. A limitation of the BeeSpotter dataset is labeling just one bee per image which may contain two or more bees. We overcome this issue by classifying all bees even in cases of two genus. Finally, the proposed approach is compared with two other recent works which report similar accuracy, but are limited with stricter image preprocessing or photographic setup.",bee species classification,Classification,Species & Subspecies Classification — Crowdsourced Image Species Classification,usa,usa
IoT-Based Bee Swarm Activity Acoustic Classification Using Deep Neural Networks,Zgank,2021,Audio,,MFCC features → Deep Neural Network (DNN). Compares WAV vs MP3 audio compression for IoT bandwidth. Best accuracy: 94.09% (WAV); MP3 compression degrades DNN accuracy >10%. Extends 2019 Zgank GMM-HMM paper.,,,,Monitoring and Predictive Health Analytics,Colony Health & Acoustic Monitoring — Deep Neural Network Swarm Detection (IoT),,
Markerless Tracking of an Entire Honey Bee Colony,Bozek et al.,2021,Video,2021,"Recurrent U-Net: standard U-Net + single temporal recurrent layer. Outputs per-frame maps of class (full-bee/cell-bee/brood), position (centroid), and heading (orientation angle). ~94% parameter reduction vs vanilla U-Net. Annotated two hive datasets.",CNN & Variants,"From cells in tissue, to bird flocks, to human crowds, living systems display a stunning variety of collective behaviors. Yet quantifying such phenomena first requires tracking a significant fraction of the group members in natural conditions, a substantial and ongoing challenge. We present a comprehensive, computational method for tracking an entire colony of the honey bee Apis mellifera using high-resolution video on a natural honeycomb background. We adapt a convolutional neural network (CNN) segmentation architecture to automatically identify bee and brood cell positions, body orientations and within-cell states. We achieve high accuracy (~10% body width error in position, ~10° error in orientation, and true positive rate > 90%) and demonstrate months-long monitoring of sociometric colony fluctuations. These fluctuations include ~24 h cycles in the counted detections, negative correlation between bee and brood, and nightly enhancement of bees inside comb cells. We combine detected positions with visual features of organism-centered images to track individuals over time and through challenging occluding events, recovering ~79% of bee trajectories from five observation hives over 5 min timespans. The trajectories reveal important individual behaviors, including waggle dances and crawling inside comb cells. Our results provide opportunities for the quantitative study of collective bee behavior and for advancing tracking techniques of crowded systems.",Honey Bee artificial intelligence,Tracking & Pose Estimation,Individual Tracking & Re-identification — Colony-Scale Markerless Tag-Free Tracking,Japan,Japan
Social Networks Predict the Life and Death of Honey Bees,Wild et al.,2021,Video,2016,CNN (BeesBook barcode decoder) → social network graph construction → PCA + linear regression (lifespan prediction from network centrality features). Integrates large-scale transcriptomics (RNA-seq) with automated tracking.,CNN & Variants,"In complex societies, individuals’ roles are reflected by interactions with other conspecifics. Honey bees (Apis mellifera) generally change tasks as they age, but developmental trajectories of individuals can vary drastically due to physiological and environmental factors. We introduce a succinct descriptor of an individual’s social network that can be obtained without interfering with the colony. This ‘network age’ accurately predicts task allocation, survival, activity patterns, and future behavior. We analyze developmental trajectories of multiple cohorts of individuals in a natural setting and identify distinct developmental pathways and critical life changes. Our findings suggest a high stability in task allocation on an individual level. We show that our method is versatile and can extract different properties from social networks, opening up a broad range of future studies. Our approach highlights the relationship of social interactions and individual traits, and provides a scalable technique for understanding how complex social systems function.",honey bee artificial intelligence,Tracking & Pose Estimation,Individual Tracking & Re-identification,-,-
Towards Computer Vision and Deep Learning Facilitated Pollination Monitoring for Agriculture,Ratnayake et al.,2021,Video,2020,YOLOv4 (bee detection in outdoor field video) + KNN background subtraction (foreground segmentation). CVPR AgriVision workshop. Benchmarks deep detection vs traditional background subtraction for in-field pollination monitoring.,Hybrid / Multi-Model,"Globally, pollinators affect 35% of agricultural land and
play a key role in food production. Consequently, monitoring is useful to understand the contribution insects make
towards crop pollination. Traditional sampling techniques
used in insect monitoring have several drawbacks, including that they are labour intensive and potentially unreliable. Some of these drawbacks may be overcome using
computer vision and deep learning-based approaches to automate pollination monitoring. In this paper, we present
a pipeline for computer vision-based pollination monitoring and propose a novel algorithm, Polytrack, that tracks
multiple insects simultaneously in complex agricultural environments. Our algorithm uses deep learning and foreground/background segmentation to detect and track insects. We achieved precision and recall rates of 0.975 and
0.972 respectively when monitoring honeybees foraging in
our test sites within the polytunnels of an industrial strawberry farm. Polytrack includes a flower identification module to automate collection of insect-flower interaction data,
and a low-resolution processing mode that reduces computational demands placed on the processor to bring the software towards the requirements of low-powered monitoring
hardware.",,Monitoring and Predictive Health Analytics,Pollen & Foraging Monitoring — Monitoring and Predictive Health Analytics,Australia,Australia
Tracking Individual Honeybees Among Wildflower Clusters with Computer Vision-Facilitated Pollinator Monitoring (HyDaT),"Ratnayake, Dyer & Dorin",2021,Video,2019,"HyDaT: Hybrid Detection and Tracking — dynamically switches between KNN background subtraction and CNN detector (whichever gives cleaner foreground per frame). 86.6% tracking performance, surpassing YOLOv2 baseline. Tracks one insect at a time.",Hybrid / Multi-Model,"Monitoring animals in their natural habitat is essential for advancement of animal behavioural studies, especially in pollination studies. Non-invasive techniques are preferred for these purposes as they reduce opportunities for research apparatus to interfere with behaviour. One potentially valuable approach is image-based tracking. However, the complexity of tracking unmarked wild animals using video is challenging in uncontrolled outdoor environments. Out-of-the-box algorithms currently present several problems in this context that can compromise accuracy, especially in cases of occlusion in a 3D environment. To address the issue, we present a novel hybrid detection and tracking algorithm to monitor unmarked insects outdoors. Our software can detect an insect, identify when a tracked insect becomes occluded from view and when it re-emerges, determine when an insect exits the camera field of view, and our software assembles a series of insect locations into a coherent trajectory. The insect detecting component of the software uses background subtraction and deep learning-based detection together to accurately and efficiently locate the insect among a cluster of wildflowers. We applied our method to track honeybees foraging outdoors using a new dataset that includes complex background detail, wind-blown foliage, and insects moving into and out of occlusion beneath leaves and among three-dimensional plant structures. We evaluated our software against human observations and previous techniques. It tracked honeybees at a rate of 86.6% on our dataset, 43% higher than the computationally more expensive, standalone deep learning model YOLOv2. We illustrate the value of our approach to quantify fine-scale foraging of honeybees. The ability to track unmarked insect pollinators in this way will help researchers better understand pollination ecology. The increased efficiency of our hybrid approach paves the way for the application of deep learning-based techniques to animal tracking in real-time using low-powered devices suitable for continuous monitoring.",honeybees and artificial intelligence,Tracking & Pose Estimation,Pollen & Foraging Monitoring — Outdoor Individual Bee Tracking Among Flowers,Australia,Australia
