Title,Papers,URL,Authors,Year,Abstract,Venue Name,Data modality,Pass/Fail,Search Keyword,Approach (AI),Research Problem,Category
Leveraging In Silico Structure–Activity Models to Predict Acute Honey Bee (Apis mellifera) Toxicity for Agrochemicals,Leveraging In Silico Structure–Activity Models to Predict Acute Honey Bee (Apis mellifera) Toxicity for Agrochemicals,https://pubmed.ncbi.nlm.nih.gov/39258845/,Sharifi et al.,2024,"In the realm of crop protection products, ensuring the safety of pollinators stands as a pivotal aspect of advancing sustainable solutions. Extensive research has been dedicated to this crucial topic as well as new approach methodologies in toxicity testing. Hence, within the agricultural and chemical industries, prioritizing pollinator safety remains a constant objective during the development of predictive tools. One of these tools includes computational models like quantitative structure-activity relationships (QSARs) that are valuable in predicting the toxicity of chemicals. This research uses bee toxicity data to develop artificial neural network classification models for predicting honey bee acute toxicity. Bee toxicity data from 1542 compounds were used to develop models; the sensitivity and specificity of the best model were 0.90 and 0.91, respectively. These in silico models can aid in the discovery of next-generation crop protection products. These tools can guide the screening and selection of next-generation crop protection molecules with high margins of safety to pollinators, and candidates with favorable sustainability profiles can be identified at the early discovery stage as precursors to in vivo data generation.",NCBI,Tabular (chemical toxicity dataset),,,SVM,predicting honey bee acute toxicity.,
Machine learning-based bee recognition and tracking for advancing insect behavior research,Machine learning-based bee recognition and tracking for advancing insect behavior research,https://link.springer.com/article/10.1007/s10462-024-10879-z,Rozenbaum et al.,2024,"The study of insect behavior, particularly that of honey bees, has a broad scope and significance. Tracking bee flying patterns grants much helpful information about bee behavior. However, tracking a small yet fast-moving object, such as a bee, is difficult. Hence, we present artificial intelligence, machine-learning-based bee recognition, and tracking systems to assist the researcher in studying the bee’s behavior. To develop a machine learning system, a labeled database is required for model training. To address this, we implemented an automated system for analyzing and labeling bee videos. This labeled database served as the foundation for two distinct bee-tracking solutions. The first solution (planar bee tracking system) tracked individual bees in closed mazes using a neural network. The second solution (spatial bee tracking system) utilized a neural network and a tracking algorithm to identify and track flying bees in open environments. Both systems tackle the challenge of tracking small-bodied creatures with rapid and diverse movement patterns. Although we applied these systems to entomological cognition research in this paper, their relevance extends to general insect research and developing tracking solutions for small organisms with swift movements. We present the complete architecture and detailed methodologies to facilitate the utilization of these models in future research endeavors. Our approach is a simple and inexpensive method that contributes to the growing number of image-analysis tools used for tracking animal movement, with future potential applications under less sterile field conditions. The tools presented in this paper could assist the study of movement ecology, specifically in insects, by providing accurate movement specifications. Following the movement of pollinators or natural enemies, for example, greatly contributes to the study of pollination or biological control, respectively, in natural and agro-ecosystems.",SpringerNature,Images,,,YOLOv5,machine-learning models to identify and track bees,tracking & pose estimation
Main causes of producing honey bee colony losses in southwestern Spain - a novel machine learning-based approach,Main causes of producing honey bee colony losses in southwestern Spain - a novel machine learning-based approach,https://link.springer.com/article/10.1007/s13592-024-01108-1,García‑Vicente et al.,2024,"Honey bees assume a pivotal role as primary pollinators, but they are currently facing a growing crisis of colony losses on a global scale. This sector is important for generating essential products, preserving ecosystems, and crop pollination. This study includes the sampling of 179 beehives from three apiaries in the traditional beekeeping area of Extremadura (Spain) vital beekeeping sector and was carried out between 2020 and 2021 using the decision trees-based model. Some studies have tried to identify the primary causative factors of this issue. However, it is insufficient because the approach disregards potential nonlinear interactions among the various factors. For this reason, through meticulous exploration of different causative factors including Varroa destructor, Nosema ceranae, Deformed Wing Virus (DWV), Chronic Bee Paralysis Virus (CBPV), and strength factors, our study employed for first time machine learning methods to identify the most important variables generating colony loss. Our analysis underscores the importance of brood levels (operculated and open), pollen and honey, Varroa destructor infestation, virus (DWV), and honey bee populations as key determinants of colony survival. These findings hold promise for guiding efficacious colony management strategies and underscoring the latent potential of machine-learning applications in the realm of beekeeping.",SpringerNature,"Time Series (perculated brood, open brood, pollen, and honey reserves)",,,RF,machine learning methods to identify the most important variables generating colony loss,detection
MFCC Selection by LASSO for Honey Bee Classification,MFCC Selection by LASSO for Honey Bee Classification,https://www.mdpi.com/2076-3417/14/2/913,Libal et al.,2024,"The recent advances in smart beekeeping focus on remote solutions for bee colony monitoring and applying machine learning techniques for automatic decision making. One of the main applications is a swarming alarm, allowing beekeepers to prevent the bee colony from leaving their hive. Swarming is a naturally occurring phenomenon, mainly during late spring and early summer, but it is extremely hard to predict its exact time since it is highly dependent on many factors, including weather. Prevention from swarming is the most effective way to keep bee colonies; however, it requires constant monitoring by the beekeeper. Drone bees do not survive the winter and they occur in colonies seasonally with a peak in late spring, which is associated with the creation of drone congregation areas, where mating with young queens takes place. The paper presents a method of early swarming mood detection based on the observation of drone bee activity near the entrance to a hive. Audio recordings are represented by Mel Frequency Cepstral Coefficients and their first and second derivatives. The study investigates which MFCC coefficients, selected by the Least Absolute Shrinkage and Selection Operator, are significant for the worker bee and drone bee classification task. The classification results, obtained by an autoencoder neural network, allow to improve the detection performance, achieving accuracy slightly above 95% for the chosen set of signal features, selected by the proposed method, compared to the standard set of MFCC coefficients with only up to 90% accuracy.",MDPI,Audio (MFCC),,,Autoencoder neural network,early swarming mood detection based on the observation of drone bee activity near the entrance to a hive,detection
Motion-Based Domain Randomization for Detecting Honey Bees Inside a Hive,Motion-Based Domain Randomization for Detecting Honey Bees Inside a Hive,https://www.researchgate.net/publication/381211887_Motion-based_Domain_Randomization_for_Detecting_Honey_bees_Inside_a_Hive,Ho et al.,2024,"In this paper, we address the task of detecting honey bees inside a beehive using computer vision with the goal of monitoring their activity. Conventionally, beekeepers monitor the activities of honey bees by watching colony entrances or by opening their colonies and examining bee movement and behavior during inspections. However, these methods either miss important information or alter honey bee behavior. Therefore, we installed simple cameras and IR lighting into honey bee colonies for a proof of concept study whether deep-learning techniques could assist in-hive observations. However, the lighting conditions across different beehives are diverse, which leads to varied appearances of both the beehive backgrounds and the honey bees. This phenomenon significantly degrades the performance of detection using Deep Neural Networks. In this paper, we propose to apply domain randomization based on motion to train honey bee detectors for inside the beehive. Our experiments were conducted on the images captured from beehives both seen and unseen during training. The results show that our proposed method boosts the performance of honey bee detection, especially for small bees which are more likely to be affected by the lighting conditions.",ResearchGate/ Society for Imaging Science and Technology,Images,,,"motion-based domain randomization, faster RCNN",apply domain randomization based on motion to train honey bee detectors for  inside the beehive,
Non-intrusive system for honeybee recognition based on audio signals and maximum likelihood classification by autoencoder,Non-intrusive system for honeybee recognition based on audio signals and maximum likelihood classification by autoencoder,https://www.mdpi.com/1424-8220/24/16/5389,Libal et al.,2024,"Artificial intelligence and Internet of Things are playing an increasingly important role in monitoring beehives. In this paper, we propose a method for automatic recognition of honeybee type by analyzing the sound generated by worker bees and drone bees during their flight close to an entrance to a beehive. We conducted a wide comparative study to determine the most effective preprocessing of audio signals for the detection problem. We compared the results for several different methods for signal representation in the frequency domain, including mel-frequency cepstral coefficients (MFCCs), gammatone cepstral coefficients (GTCCs), the multiple signal classification method (MUSIC) and parametric estimation of power spectral density (PSD) by the Burg algorithm. The coefficients serve as inputs for an autoencoder neural network to discriminate drone bees from worker bees. The classification is based on the reconstruction error of the signal representations produced by the autoencoder. We propose a novel approach to class separation by the autoencoder neural network with various thresholds between decision areas, including the maximum likelihood threshold for the reconstruction error. By classifying real-life signals, we demonstrated that it is possible to differentiate drone bees and worker bees based solely on audio signals. The attained level of detection accuracy enables the creation of an efficient automatic system for beekeepers",MDPI,"Audio (mel-frequency cepstral coefficients (MFCCs), gammatone cepstral coefficients (GTCCs), the multiple signal classification method (MUSIC) and parametric estimation of power spectral density (PSD))",,,Autoencoder neural network,early detection method for swarming by analyzing bee sounds around a hive and identifying drones.,detection
Using honey bee flight activity data and a deep learning model as a toxicovigilance tool,Using honey bee flight activity data and a deep learning model as a toxicovigilance tool,https://www.sciencedirect.com/science/article/pii/S157495412400195X,Olivares-Pinto et al.,2024,"Automatic monitoring devices placed at the entrances of honey bee hives have facilitated the detection of various sublethal effects related to pesticide exposure, such as homing failure and reduced flight activity. These devices have further demonstrated that different neurotoxic pesticide molecules produce similar sublethal impacts on flight activity. The detection of these effects was conducted a posteriori, following the recording of flight activity data. This study introduces a method using an artificial intelligence model, specifically a recurrent neural network, to detect the sublethal effects of pesticides in real-time based on honey bee flight activity. This model was trained on a flight activity dataset comprising 42,092 flight records from 1107 control and 1689 pesticide-exposed bees. The model was able to classify honey bees as healthy or pesticide-exposed based on the number of flights and minutes spent foraging per day. The model was the least accurate (68.46%) when only five days of records per bee were used for training. However, the highest classification accuracy of 99%, a Cohen Kappa of 0.9766, a precision of 0.99, a recall of 0.99, and an F1-score of 0.99 was achieved with the model trained on 25 days of activity data, signifying near-perfect classification ability. These results underscore the highly predictive performance of AI models for toxicovigilance and highlight the potential of our approach for real-time and cost-effective monitoring of risks due to exposure to neurotoxic pesticide in honey bee populations.",ScienceDirect,Time Series,,,RNN,to detect the sublethal effects of pesticides in real-time based on honey bee flight activity,detection
Wasp Detection System Using AI Technology to Support Honey Bee Farming,Wasp Detection System Using AI Technology to Support Honey Bee Farming,https://link.springer.com/chapter/10.1007/978-3-031-93323-3_15,Suebsombut et al.,2024,"his paper aims to propose wasp detection system using artificial intelligent (AI) technology to support beekeepers. The YOLOv8x was selected for wasp detection modelling. The proposed wasp detection model was trained, validated, and tested based on the dataset collected from Roboflow which is the open data source. There were 18,425 images collected meticulously categorized into training (88%), validation (8%), and test (4%) sets. An overall performance of this proposed model is around 85% of confidence score. According to the results, the proposed model can effectively identify and classify wasps with high precision and recall rates. Moreover, beekeepers can receive real-time notification as text and image via LINE chat application, which is crucial for timely intervention in protecting beehives from wasp attacks.",ScienceNature,Images,,,YOLOv8,to detect and notify when wasp infestetation,detection
A deep learning-based approach for bee sound identification,A deep learning-based approach for bee sound identification,https://pdf.sciencedirectassets.com/273474/1-s2.0-S1574954123X00053/1-s2.0-S1574954123003035/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEE8aCXVzLWVhc3QtMSJHMEUCIQCZnz46WLpg4g26CMjyIhQw0aFHFM%2BS9u3VrqCcnLatBQIgCRUTitxwV8rYkFFcBRwcwXjCM9LBtocVfKTr5UvcH%2FYqsgUIGBAFGgwwNTkwMDM1NDY4NjUiDCWsoRmECGL3QafGUyqPBV7B9D%2B2Wyx9kKHtsxWgOSHSp4hE4xkcVPrrVmuuCG3DDaftYb57zKo6QmkSTfv7Nxmu9cuuqzXW3dpMB57TBtWxDDoaTFOk8okQYPsErpK5VphZZfyd73Dy2Hh5cuMA%2F99qmgDxVY2onIq7iAjBNRPyjpZV5LxeLSg8r8Aw%2FDvPIqTeGsTe6Xr7joQs%2B5YwRqvN0pgMKDYwedt%2BPmTRxz2r2blWTTe9BHyNIYeZs3RgGRZCaKYktlRtsGgK7L7OOqVV%2Br6hR0La1qj1jgwZZUhFModWr8RCFDI9NWhg0WtX4VicKxpZU9FuMtwo6Wmg5Ttuoc8LOj1fClw1RkzZx80YHLxlhnMTPHhTf83sk8RWkDW%2BTHcj%2BQ9ozjDu7ArSUaG2MVMIC8U3Ag3xb9Nh7O%2Fk84%2B6%2F9MJNV3Ea%2B3K0lyukpX4d2m78oqggUcwkjSljBT0CHIGYXG9sqvVf9w6JipBHuq9coDMC65LMGnFPHKxbiSkOffaLdlXzQQZsj7056sw5s7%2Fg47nYHKqPE2w61hLhXTbVowy6W6CHu8Hz%2F1tyES7XnF3ECSsEBQSrG2DL47rg3ztIrfGi%2BrOfenfpuQLdSZRet80kitIAvzCa4qyYNGeZ%2FaQz7vnMx7EU39NskMFcA0gr3XQJA2x7GR2egE1jRmUUGDgwZjAFXPZMK4lceNuTbq0TRBlui6q98kS37aeKsEg80ohLTyNZzOrW3XuCdm2G8d75%2FhOuicuqtEesqY5i5uPieqeOEJch3mecz0LXWhyt4iuEwMyEFFxsO3bpwtwldc9e3XL6NrEvEeYtDfinzZsRInxVz9wYy7xd9Se7c9kh9Hh7hodBFfk8tgRocM2i%2BsXpw%2Bnr6fwTvkwmZC2zQY6sQEP5j%2FUmPu%2BVrqa7IYjuU9xy6YEYcPAzfRL849l8kdFbgNE5p8rQdhyyBTxZGjadVlyqsD8Ci4q86LxphUS4IlY8r2LI0avQgrjxinAioJ57gNc%2FkS2LiMo3zdnwZEcsLFLKxC%2FkjUJfVdqyqO2Q%2FAi0dtoFYA6Odozz6lVzpJjnfCT7ITMRArUUUbrBSxk6JiHDGSrnL4IhT98awbBjmBNIde8556YjuUUTDLC%2BkwbLUQ%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20260308T152454Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTY44YDXICO%2F20260308%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=a34ea1746dab8b2c1cadccd617ed559907467a8d7a34d71e8dcccd907ccc740a&hash=bc5b71a950d727c19503aa382d9a93f6938d7368a049f92d27544c3b8ba56a1b&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S1574954123003035&tid=spdf-6e43e85d-ffe9-4d95-b221-bb4dd24913c7&sid=944169d380b1c746748a7db85b5f8d95f69dgxrqb&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&rh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=06005e065e50055e57&rr=9d92d976ff5a519f&cc=de,Truong,2023,"Bee buzzing carries a lot of information about colony behavior. These sounds can provide beekeepers with insights into various stressed situations in the colony such as the absence of a queen, swarming, and the appearance
of predatory mites and airborne toxins. As a result, bee sounds are an important source for humans to understand
more about bee’s status, activities, and behaviors. That grows the interest in applying machine learning and deep
learning techniques to monitor beehives based on their buzzing sounds in recent years worldwide. In this study,
we present a novel deep learning method that combines the Convolutional Neural Network (CNN) and the Gated
Recurrent Unit (GRU) for bee sound identification. The Mel Spectrogram and the Bayesian Optimization are also
employed to enhance the performance of the learning model. The experiments are conducted based on three real
data sets. The obtained results show that our proposed method outperforms the existing models in recognizing
bee buzzing sounds from noise and cricket sound by 1% in terms of accuracy.",Elsevier,audio,Pass,,CNN + GRU,"The paper studies how to distinguish bee buzzing sounds from non-bee sounds, especially cricket chirping and ambient noise, because mixed non-bee sounds in the collected data can harm later beehive analysis. The stated goal is to improve existing models for distinguishing sounds that are “to bee or not to bee.”",Classification
A Novel Convolutional Neural Network Architecture for Pollen-Bearing Honeybee Recognition,A Novel Convolutional Neural Network Architecture for Pollen-Bearing Honeybee Recognition,https://thesai.org/Downloads/Volume14No8/Paper_112-A_Novel_Convolutional_Neural_Network_Architecture.pdf,Le,2023,"Abstract: Monitoring the pollen foraging behavior of honey-bees is an important task that is beneficial to beekeepers, allowing them to understand the health status of their honeybee colonies. To perform this task, monitoring systems should have the ability to automatically recognize images of pollen-bearing honeybees extracted from videos recorded at the beehive entrance. In this paper, a novel convolutional neural network architecture is proposed for recognizing pollen-bearing and non-pollen-bearing honeybees from their images. The performance of the proposed model is illustrated based on a real dataset and the obtained results show that it performs better than some other state-of-the-art deep learning architectures like VGG16, VGG19, or Resnet50 in terms of both accuracy and execution time. Thus, the proposed model can be considered an effective algorithm for designing automatic honeybee colony monitoring systems",Science and Information (SAI) Organization Limited,images,Pass,,CNN,"Research problem: The paper studies how to recognize pollen-bearing honeybees automatically from images so that beekeepers can monitor pollen foraging behavior and better understand the health and status of honeybee colonies.
The paper also says that existing CNN-based models can be effective, but they often have complex structures, require more computation and resources, and the widely used pollen dataset contains some mislabeled images. The authors therefore aim to build a model that is both accurate and lower-cost to run.",Classification
Dynamic noise filtering for multi-class classification of beehive audio data,Dynamic noise filtering for multi-class classification of beehive audio data,https://www.sciencedirect.com/science/article/pii/S0957417422018681,"Várkonyi, Dániel Tamás, José Luis Seixas Junior, and Tomáš Horváth",2023,"Honeybees are the most specialized insect pollinators and are critical not only for honey production but, also, for keeping the environmental balance by pollinating the flowers of a wide variety of crops. Recording and analyzing bee sounds became a fundamental part of recent initiatives in the development of so-called smart hives. The majority of researches on beehive sound analytics are focusing on swarming detection, a relatively simple binary classification task (due to the obvious difference in the sound of a swarming and a non-swarming bee colony) where machine learning models achieve good performance even when trained on small data. However, in the case of more complex tasks of beehive sound analytics, even modern machine learning approaches perform poorly. First, training such models would need a large dataset but, according to our knowledge, there is no publicly available large-scale beehive audio data. Second, due to the specifics of beehive sounds, efficient noise filtering methods would be required, however, we could not find a noise filtering method that would increase the performance of machine learning models substantially. In this paper, we propose a dynamic noise filtering method applicable on spectrograms (image representations of audio data) which is superior to the most popular image noise filtering baselines. Further, we introduce a multi-class classification task of bee sounds and a large-scale dataset consisting of 10.000 beehive audio recordings. Finally, we provide the results of a large-scale experiment involving various combinations of audio feature extraction and noise filtering methods together with various deep learning models. We believe that the contributions of this paper will facilitate further research in the area of (beehive) sound analytics.",Expert Systems with Applications,Audio Data,pass,honeybees and artificial intelligence,CNN+LSTM,improving noise filtering for multi-label bee audio classification,classification
Evaluating Audio Feature Extraction Methods for Identifying Bee Queen Presence,Evaluating Audio Feature Extraction Methods for Identifying Bee Queen Presence,https://dl.acm.org/doi/pdf/10.1145/3628797.3628852,Ho,2023,"Beehive monitoring is an essential task for beekeepers to keep
under surveillance the health and productivity of their beehives.
Traditional monitoring methods, such as visual inspection, are
labor-intensive, time-consuming, and have negative effects on bee
colonies. Recently, machine learning (ML) algorithms have emerged
as a powerful tool for automated monitoring beehives using bee
sounds. To apply the ML methods, the first main step is to extract
important features from the original audio data. In this study, we
examine the performance of various ML algorithms using six different audio feature extraction methods. Experiments have been conducted on an audio dataset collected in Vietnam when the queen bee
is present or absent. The experiment results indicate that the audiobased approach can effectively monitor beehives and by choosing
the suitable feature extraction technique the performance of the
ML methods for detecting the absence of the bee queen can be
improved significantly.",Proceedings of the 12th International Symposium on Information and Communication Technology,audio,Pass,,"KNN, SVM, Logistic Regression, RF, Extra Trees","Research problem: The paper studies how to identify whether the queen bee is present or absent from beehive sound. It explains that traditional hive inspection is labor-intensive, time-consuming, and stressful for bees, so the authors investigate which audio feature extraction method works best with machine learning for this task.",Monitoring & Health Assessment
Genetic programming for bee audio classification,Genetic programming for bee audio classification,https://dl.acm.org/doi/abs/10.1145/3591569.3591612,Nguyen,2023,"Honey bees (Apis mellifera) play a very important role in agriculture
thanks to their ability of plants’ pollination. However, the number
of honey bees decreases every year because of the effects of climate
change, environmental pollution, and so on. As a result, finding a
useful solution to this problem has been more and more attracting
scientists and companies. Applying machine learning (ML) methods based on audio data recording inside the hive is a promising
solution to detect changes in the beehive. In this study, we investigate the genetic programming (GP) method, one of the powerful
ML methods, for identifying bee sound data. We also compare our
proposal with the results from a previous study. The experiment
results show that with the right configuration of parameters, GP
can achieve better results than well-known methods for the task of
classifying bee sound samples.",Proceedings of the 2023 8th International Conference on Intelligent Information Technology,audio,Pass,,Genetic Programming (GP),"The paper studies how to classify bee sound samples recorded inside hives. More specifically, it treats this as the basic task of recognizing bee sounds and distinguishing them from non-bee sounds, since later hive-monitoring analysis depends on this first step being correct. In the experiments, the classification problem is a 3-class problem: buzzing bees, crickets chirping, and ambient noise.",Classification
Honey bees find the shortest path: a collective flow-mediated approach,Honey bees find the shortest path: a collective flow-mediated approach,https://link.springer.com/article/10.1007/s10015-022-00816-0,"Nguyen, D. M. T., Fard, G. G., Atkins, A., Bontempo, P., Iuzzolino, M. L., & Peleg, O.",2023,"Honey bees (Apis mellifera L.) are social insects that makes frequent use of volatile pheromone signals to collectively navigate unpredictable and unknown environments. Ants have been shown to effectively use pheromone trails to find the shortest path between two points, the nest and the food source. The ant pheromone trails are accomplished by depositing pheromones which are then diffused passively, creating isotropic (i.e., non-directional and axi-symmetric) signals. In this study, we report the first instance of the honey bees’ ability to solve the shortest path problem to localize the queen and aggregate around her by using a collective flow-mediated scenting strategy. In this strategy, individual bees not only emit pheromones but also fan their wings to actively direct the flow of the signals, providing colony members with directional messages to the queen’s location. We use computer vision and deep learning approaches to perform automatic and accurate image analysis. As a result, we quantify the number of bees in the short and long paths, and show that the short path is frequented by significantly more bees over time. We also reconstruct attractive surfaces using the positions and directions of scenting bees, and show that this surface is more “attractive” along the short path and around the queen as scenting bees send out directional messages and the swarm makes their way to the queen. Overall, we show that honey bees can effectively use the collective scenting behavior to overcome local and volatile pheromone communication and find the shortest path to the queen.",Artificial Life and Robotics,image/video,,neural network honeybees,Convolutional Neural Network,monitoring/exprimental,monitoring & health assessment
Identifying Queenlessness in Honeybee Hives from Audio Signals Using Machine Learning,Identifying Queenlessness in Honeybee Hives from Audio Signals Using Machine Learning,https://www.mdpi.com/2079-9292/12/7/1627,"Ruvinga, S., Hunter, G., Duran, O., & Nebel, J. C.",2023,"Honeybees are vital to both the agricultural industry and the wider ecological system, most importantly for their role as major pollinators of flowering plants, many of which are food crops. Honeybee colonies are dependent on having a healthy queen for their long-term survival since the queen bee is the only reproductive female in the colony. Thus, as the death or loss of the queen is of great negative impact for the well-being of a honeybee colony, beekeepers need to be aware if a queen has died in any of their hives so that appropriate remedial action can be taken. In this paper, we describe our approaches to using acoustic signals recorded in beehives and machine learning algorithms to identify whether beehives do or do not contain a healthy queen. Our results are extremely positive and should help beekeepers decide whether intervention is needed to preserve the colony in each of their hives.",Electronics,audio,,neural network honeybees,Convolutional Neural Network,indentifying queenlessness,
"IntelliBeeHive: An Automated Honey Bee, Pollen, and Varroa Destructor Monitoring System","IntelliBeeHive: An Automated Honey Bee, Pollen, and Varroa Destructor Monitoring System",https://ieeexplore.ieee.org/abstract/document/10903284/,Narcia-Macias,2023,"Utilizing computer vision and the latest technological advancements, in this study, we developed a honey bee moni-toring system that aims to enhance our understanding of Colony Collapse Disorder, honey bee behavior, population decline, and overall hive health. The system is positioned at the hive entrance providing real-time data, enabling beekeepers to closely monitor the hive's activity and health through an account-based website. Using machine learning, our monitoring system can accurately track honey bees, monitor pollen-gathering activity, and detect Varroa mites, all without causing any disruption to the honey bees. Moreover, we have ensured that the development of this monitoring system utilizes cost-effective technology, making it accessible to apiaries of various scales, including hobbyists, com-mercial beekeeping businesses, and researchers. The inference models used to detect honey bees, pollen, and mites are based on the YOLOv7-tiny architecture trained with our data. The F1-score for honey bee model recognition is 0.95 and the precision and recall value is 0.981. For our pollen and mite object detection model F1-score is 0.95 and the precision and recall value is 0.821 for pollen. The overall performance of our IntelliBeeHive system demonstrates its effectiveness in monitoring the honey bee's activity, achieving an accuracy of 96.28 percent in tracking and our pollen model achieved a F1-score of 0.831.",IEEE,video,Pass,,YOLOv7-tiny,"Research problem:
The paper aims to build a cost-effective automated monitoring system that can help beekeepers monitor:

honey bee activity,

pollen-gathering / foraging behavior, and

Varroa destructor presence,

without disturbing the bees. The paper motivates this by saying traditional varroa-monitoring methods are time-consuming, labor-intensive, and can be destructive, and that traditional pollen-trap methods are limited and can negatively affect bees.",Monitoring & Health Assessment
"Machine Learning and Computer Vision Techniques in Continuous
Beehive Monitoring Applications: A Survey","Machine Learning and Computer Vision Techniques in Continuous
Beehive Monitoring Applications: A Survey",https://arxiv.org/pdf/2208.00085.pdf,"Simon Bilika,
,Tomas Zemcika
,Lukas Kratochvilaa
,Dominik Ricaneka
,Miloslav Richtera
,Sebastian Zambaninic
,Karel Horaka",2023,"Wide use and availability of machine learning and computer vision techniques allows development of relatively complex monitoring systems in many domains. Besides the traditional industrial domain, new applications appears also in biology and agriculture, where they may be used to detect infections, parasites and weeds, but also for automated monitoring and early warning systems. This goes in concordance with the introduction of the easily accessible hardware and development kits such as the Arduino, or RaspberryPi families. In this paper, we survey 50 papers focusing on the methods of automated beehive monitoring using computer vision techniques. Particularly on the pollen and Varroa mite detection together with the bee traffic monitoring. Such systems could also be used for monitoring of honeybee colonies and for the inspection of their health state, which could potentially identify dangerous states before the situation is critical, or to better plan periodic bee colony inspections and therefore save significant costs. Further on, we also include analysis of the research trends in this application field and we outline the possible directions of new development. Our paper is also aimed at veterinary and apidology professionals and experts, who may not be familiar with machine learning to introduce them to its capabilities, hence each family of techniques is prefaced by a brief theoretical introduction and motivation related to its base method. We hope that this paper will inspire other scientists to use machine learning techniques for other applications in beehive monitoring.",,Image,,machine learning method for honeybee,Convolutional Neural Network,Beehive Monitoring,monitoring & health assessment
Machine Learning Framework for the Acoustic Detection of Queen Bee Presence,Machine Learning Framework for the Acoustic Detection of Queen Bee Presence,https://dael.euracoustics.org/confs/fa2023/data/articles/001309.pdf,Barbisan,2023,"Honeybees are one of the most important pollinators in nature for both crop production and biodiversity preservation. The increase in bee mortality observed in the last decade motivated the development of continuous monitoring systems to better understand this phenomenon. Different solutions have been presented in the literature, and particularly sound analysis appears the most promising among the non-invasive techniques. In this context, we developed a machine learning framework for the analysis of the sound produced by bees for the detection of the queen bee’s presence. The presence of the queen is an important indicator of the colony’s health. In this work, we investigated Short Time Fourier Transform and Mel Frequency Cepstral Coefficient audio features with support vector machines and neural network classifiers. The results indicate the potential of machine learning methods for supporting the researchers’ study and beekeepers in managing such important insects.",Acta Acustica,audio,Pass,,"SVM, NN","Research problem: The paper aims to detect whether the queen bee is present using the sound produced by the colony. It presents this as part of continuous, non-invasive hive monitoring, since queen presence is an important indicator of colony health. The paper’s goal is also to provide a general framework for testing audio features and classifiers for this task.",Monitoring & Health Assessment
Pollinators as Data Collectors: Estimating Floral Diversity with Bees and Computer Vision,Pollinators as Data Collectors: Estimating Floral Diversity with Bees and Computer Vision,https://openaccess.thecvf.com/content/ICCV2023W/CVPPA/papers/Tausch_Pollinators_as_Data_Collectors_Estimating_Floral_Diversity_with_Bees_and_ICCVW_2023_paper.pdf,Tausch,2023,"This paper presents a bee-based environment monitoring system that uses pollen color analysis to estimate floral diversity. The study focuses on non-invasively assessing
pollinator habitat quality using computer vision technology
on honey bee hives. By strategically placing cameras at
the beehive entrance, the system captures pollen color samples without disrupting the bees’ natural foraging behavior.
The collected pollen color data is analyzed using computer
vision techniques, including pollen color classification and
diversity assessment. The feasibility of the approach is evaluated through comparisons with laboratory analysis results
and an appliance for capturing pollen color under ideal
conditions. The study also includes the creation of a dataset
for further research and advancements in the field of floral
diversity estimation. The findings demonstrate the potential
of using bees and computer vision technology for monitoring and understanding pollinator habitat quality",CVPR,,Pass,,"U-Net,HDBSCAN","Research problem:
The paper studies whether it is possible to non-invasively assess pollinator habitat quality, especially floral diversity, by using computer vision on honey bee hives and pollen color analysis. The main motivation is to avoid invasive pollen-trap methods that disturb bees and reduce the pollen available to the colony.",Monitoring & Health Assessment
